,"ACCT","2101","PRIN OF ACC I",,"22984","BHANDARKAR",,100,0,,,
,"ACCT","2101E","PRIN OF ACC I",,"42985","BHANDARKAR",,30,0,,,
,"ACCT","2102","PRIN ACC II",,"62986","MATTHEWS",,100,0,,,
,"ACCT","2102E","PRIN ACC II",,"82987","FARMER",,40,0,,,
,"ACCT","5800","INTERNSHIP IN ACCT",,"02988","SCHWAB",,30,0,,,
,"ACCT","7005","GRAD STUDENT SEM",,"12989","AYERS",,20,0,,,
,"ACCT","7651","FORENSIC ACCT",,"82990","CARPENTER",,59,0,,,
,"ACCT","7800","GRAD INTERN IN ACCT",,"02991","SCHWAB",,75,0,,,
,"ACCT","9000","DOCTORAL RESEARCH",,"72995","AYERS",,5,0,,,
,"ACCT","9000","DOCTORAL RESEARCH",,"92996","HAMMERSLEY",,5,0,,,
,"ACCT","9300","DOCT DISSERTATION",,"02997","AYERS",,5,0,,,
,"ACCT","9300","DOCT DISSERTATION",,"22998","HAMMERSLEY",,5,0,,,
,"ACCT","9300","DOCT DISSERTATION",,"42999","BAGINSKI",,5,0,,,
,"ACCT","9300","DOCT DISSERTATION",,"53000","CARPENTER",,5,0,,,
,"ADPR","3100","PRINCIPLES OF ADVT",,"82956","HAMILTON",,44,0,,,
,"ADPR","3520","GRAPHIC COMM",,"02957","JONES",,20,0,,,
,"ADPR","3520","GRAPHIC COMM",,"12958","ACOSTA ALZUR",,20,0,,,
,"ADPR","3520","GRAPHIC COMM",,"32959","JONES",,20,0,,,
,"ADPR","5010","ADVT INTERNSHIP",,"02960","REICHERT",,30,0,,,
,"ADPR","5011","PR INTERNSHIP",,"12961","REBER",,30,0,,,
,"ADPR","5740","ADVT/COMM CAMPAIGNS",,"52848","GRIFFITH",,40,0,,,
,"ADPR","5740","ADVT/COMM CAMPAIGNS",,"72849","GRIFFITH",,40,0,,,
,"ADPR","5910","PR ADMINISTRATION",,"32962","REBER",,40,0,,,
,"ADPR","5950","PR CAMPAIGNS",,"72964","Staff",,35,0,,,
,"ADPR","5990","SEM IN AD/PR",,"62955","STRAUSBAUGH-",,40,0,,,
