,"AAEC","2580","APP MICROECN PRIN",,"96630","COLSON",,120,74,,,
,"AAEC","3010","FARM ORG MAN",,"67315","SHURLEY",,50,54,,,
,"AAEC","3040","AGRIBUS MARKETING",,"06452","EPPERSON",,62,62,,,
,"AAEC","3100","FOOD AND FIBER MKT",,"16637","STEGELIN",,55,20,,,
,"AAEC","3200","SELLING IN AGRIBUS",,"16640","STEGELIN",,50,47,,,
,"AAEC","3580","INTER ECON PRIN",,"76450","WETZSTEIN",,60,57,,,
,"AAEC","3580L","INTER ECON PRIN LAB",,"96451","WETZSTEIN",,60,57,,,
,"AAEC","3600","MACROECON/FOOD POL",,"86456","DORFMAN",,50,47,,,
,"AAEC","3690","AGRIBUSINESS FIN",,"06636","KOSTANDINI",,55,31,,,
,"AAEC","3910","INTERNSHIPS",,"57192","STEGELIN",,35,0,,,
,"AAEC","4050E","AGBUS LAW",,"00105","Staff",,5,8,,,
,"AAEC","4610","APP ECONOMETRICS",,"82130","Staff",,15,16,,,
,"AAEC","4610","APP ECONOMETRICS",,"96627","KRIESEL",,39,21,,,
,"AAEC","4610L","APP ECON LAB",,"02131","Staff",,15,16,,,
,"AAEC","4610L","APP ECON LAB",,"06628","KRIESEL",,40,21,,,
,"AAEC","4870","FUTURES & OPT MKTS",,"66455","KARALI",,50,28,,,
,"AAEC","4960","INT AG TRADE POLICY",,"46454","GUNTER",,50,26,,,
,"AAEC","4980","AGRIBUSINESS MGT",,"26453","EPPERSON",,30,25,,,
,"AAEC","4990","APPLIED ECON TOPICS",,"47197","AMES",,10,6,,,
,"AAEC","4990E","APPLIED ECON TOPICS",,"91486","LACY",,20,8,,,
,"AAEC","6590","MICRO/APP II",,"86635","COLSON",,50,10,,,
,"AAEC","6620","APPL ECONOMETRICS",,"07195","KARALI",,40,9,,,
,"AAEC","6870","FUTURES & OPT MKTS",,"07326","KARALI",,0,9,,,
,"AAEC","6960","INTERNAT AG TRADE",,"66617","GUNTER",,20,10,,,
,"AAEC","6980","AGRIBUSINESS MGT",,"27327","EPPERSON",,5,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"03403","FERREIRA",,10,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"03408","RAMIREZ",,10,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"23404","GUNTER",,10,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"43405","HOUSTON",,10,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"44022","AMES",,25,1,,,
,"AAEC","7000","MASTER'S RESEARCH",,"53400","COLSON",,10,1,,,
,"AAEC","7000","MASTER'S RESEARCH",,"53509","WETZSTEIN",,10,5,,,
,"AAEC","7000","MASTER'S RESEARCH",,"63406","KRIESEL",,10,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"73401","DORFMAN",,10,1,,,
,"AAEC","7000","MASTER'S RESEARCH",,"83407","MAGNAN",,10,2,,,
,"AAEC","7000","MASTER'S RESEARCH",,"93402","ESCALANTE",,10,0,,,
,"AAEC","7300","MASTER'S THESIS",,"03411","ESCALANTE",,10,0,,,
,"AAEC","7300","MASTER'S THESIS",,"03417","RAMIREZ",,10,0,,,
,"AAEC","7300","MASTER'S THESIS",,"13409","COLSON",,10,1,,,
,"AAEC","7300","MASTER'S THESIS",,"13412","FERREIRA",,10,0,,,
,"AAEC","7300","MASTER'S THESIS",,"13510","WETZSTEIN",,10,2,,,
