,"KINS","6000","DIR STUDY KINS",,"52490","ZHANG",,40,5,,,
,"PHAR","6010E","PHR BIOTEC DEV IND",,"57693","MULLIS",,18,0,,,
,"PHAR","6020E","FOOD AND DRUG LAW",,"77694","BOLING",,18,6,,,
,"PHAR","6030E","CURR GOOD MANF PRAC",,"97695","ARKIN",,18,2,,,
,"SOWK","6044","THEORY W/FAM",,"47720","STULA",,28,26,,,
,"SOWK","6044","THEORY W/FAM",,"87719","STRICKLAND",,28,21,,,
,"SOWK","6055","FOUND PRAC",,"12146","Staff",,20,0,,,
,"SOWK","6055","FOUND PRAC",,"32147","BRAY",,20,0,,,
,"SOWK","6055","FOUND PRAC",,"52148","Staff",,20,0,,,
,"SOWK","6066","FOUND RESEARCH",,"67721","Staff",,28,28,,,
,"SOWK","6066","FOUND RESEARCH",,"87722","Staff",,28,21,,,
,"SOWK","6082","CULTURAL DIVERSITY",,"07723","LOWE",,28,21,,,
,"SOWK","6082","CULTURAL DIVERSITY",,"17724","BARNER",,28,26,,,
,"PHAR","6100E","QC AND QA",,"67699","AKELEWICZ",,18,2,,,
,"PHAR","6130E","US MARK APPLIC",,"47698","MULLIS",,18,3,,,
,"EDIT","6150E","INTRO CMPTR BSED ED",,"70224","KOPCHA",,30,5,,,
,"EDIT","6200","LRN ENVIR DESIGN I",,"40228","KOPCHA",,30,3,,,
,"PHAR","6200E","CLIN TRIAL DSG MGMT",,"27697","TACKETT",,18,3,,,
,"EDIT","6210","LRN ENVIR DESIGN II",,"20230","CLINTON",,25,7,,,
,"LAND","6210","REPRESENTATION I",,"17836","CROWLEY",,10,4,,,
,"EDIT","6330E","SUPP LIT THRU SLM",,"91276","KNAPP",,25,1,,,
,"EDIT","6340","INFO SER IN SCH MD",,"60232","DEISSLER",,25,11,,,
,"EDIT","6360E","INFO LIT IN SCH MD",,"01277","DEISSLER",,25,16,,,
,"EDIT","6400E","TEACH LEARN TECHNOL",,"32200","KNAPP",,30,5,,,
,"LLED","6420","LIT DEV EARLY CHILD",,"23161","NOGUERON-LIU",,25,4,,,
,"PLAN","6520","ENV PLAN STUDIO I",,"77839","Multiple",,10,4,,,
,"EDIT","6900E","RESEARCH IN IT",,"50223","KNAPP",,30,3,,,
,"PADP","6930","PUBLIC FIN ADMIN",,"36039","GREER",,30,6,,,
,"PADP","6950","FOUND POLICY ANLYS",,"16038","HOLLIBAUGH",,30,9,,,
,"PHRM","7000","MASTER'S RESEARCH",,"32651","ARKIN",,5,1,,,
,"FDST","7007E","MFT TERM PROJECT",,"02997","FRANK",,10,0,,,
,"FDST","7007E","MFT TERM PROJECT",,"22998","BRODY",,10,0,,,
,"FDST","7007E","MFT TERM PROJECT",,"42999","WICKER",,10,0,,,
,"FDST","7007E","MFT TERM PROJECT",,"53000","HARRISON",,10,0,,,
,"EPID","7020","INTRTO TO EPI II",,"13524","WAGNER",,5,2,,,
,"SOWK","7055","CONCEN PRAC",,"07785","RYSIEW",,10,3,,,
,"SOWK","7055","CONCEN PRAC",,"07794","VONK",,10,2,,,
,"SOWK","7055","CONCEN PRAC",,"17786","BANKS",,10,1,,,
,"SOWK","7055","CONCEN PRAC",,"27795","CLAYTON",,10,0,,,
,"SOWK","7055","CONCEN PRAC",,"37787","ELLIS",,10,1,,,
,"SOWK","7055","CONCEN PRAC",,"37790","CAMPBELL",,10,1,,,
,"SOWK","7055","CONCEN PRAC",,"47796","CHOI",,10,1,,,
,"SOWK","7055","CONCEN PRAC",,"57788","ELKINS",,10,2,,,
,"SOWK","7055","CONCEN PRAC",,"57791","MURPHY",,10,3,,,
