"201405","22984","ACCT","2101            ","PRIN OF ACC I      ","BHANDARKAR  ","Available","3.00","First","MTWRF  ","0915A","1130A","0","100","0","0","0","100","null","AR  ","AR   ","02","UNIV"
"201405","42985","ACCT","2101E           ","PRIN OF ACC I      ","BHANDARKAR  ","Available","3.00","Thru","VR     ","     ","     ","0","30","0","0","0","30","null","VR  ","VR   ","02","UNIV"
"201405","62986","ACCT","2102            ","PRIN ACC II        ","MATTHEWS    ","Available","3.00","Cancelled","MTWRF  ","0915A","1130A","0","100","0","0","0","100","null","AR  ","AR   ","02","UNIV"
"201405","82987","ACCT","2102E           ","PRIN ACC II        ","FARMER      ","Available","3.00","Thru","VR     ","     ","     ","0","40","0","0","0","40","null","VR  ","VR   ","02","UNIV"
"201405","02988","ACCT","5800            ","INTERNSHIP IN ACCT ","SCHWAB      ","Available","3.00","Thru","VR     ","     ","     ","0","0","0","30","0","30","null","VR  ","VR   ","02","UNIV"
"201405","12989","ACCT","7005            ","GRAD STUDENT SEM   ","AYERS       ","Available","3.00","Thru","VR     ","     ","     ","0","0","0","20","0","20","null","VR  ","VR   ","02","UNIV"
"201405","82990","ACCT","7651            ","FORENSIC ACCT      ","CARPENTER   ","Available","3.00","Full","MTWRF  ","0930A","0145P","0","0","0","59","0","59","null","AR  ","AR   ","02","UNIV"
"201405","02991","ACCT","7800            ","GRAD INTERN IN ACCT","SCHWAB      ","Available","3.00","Thru","VR     ","     ","     ","0","0","0","75","0","75","null","VR  ","VR   ","02","UNIV"
"201405","72995","ACCT","9000            ","DOCTORAL RESEARCH  ","AYERS       ","Available","0.00","Thru","VR     ","     ","     ","0","0","0","5","0","5","null","VR  ","VR   ","02","UNIV"
"201405","92996","ACCT","9000            ","DOCTORAL RESEARCH  ","HAMMERSLEY  ","Available","0.00","Thru","VR     ","     ","     ","0","0","0","5","0","5","null","VR  ","VR   ","02","UNIV"
"201405","02997","ACCT","9300            ","DOCT DISSERTATION  ","AYERS       ","Available","0.00","Thru","VR     ","     ","     ","0","0","0","5","0","5","null","VR  ","VR   ","02","UNIV"
"201405","22998","ACCT","9300            ","DOCT DISSERTATION  ","HAMMERSLEY  ","Available","0.00","Thru","VR     ","     ","     ","0","0","0","5","0","5","null","VR  ","VR   ","02","UNIV"
"201405","42999","ACCT","9300            ","DOCT DISSERTATION  ","BAGINSKI    ","Available","0.00","Thru","VR     ","     ","     ","0","0","0","5","0","5","null","VR  ","VR   ","02","UNIV"
"201405","53000","ACCT","9300            ","DOCT DISSERTATION  ","CARPENTER   ","Available","0.00","Thru","VR     ","     ","     ","0","0","0","5","0","5","null","VR  ","VR   ","02","UNIV"
"201405","82956","ADPR","3100            ","PRINCIPLES OF ADVT ","HAMILTON    ","Available","3.00","Cancelled","MTWRF  ","0915A","1130A","0","44","0","0","0","44","null","AR  ","AR   ","03","UNIV"
